C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,regression target,classification target
single,Change of course,third choice,Nursing,daytime,Secondary education,68.0,Portuguese,no,no,no,yes,male,yes,21,no,0,8.0,8,0,0.0,8,0.0,8.0,8,0.0,0.0,8,9.4,-0.8,-3.12,0.6204999999999999,success
single,Short cycle diploma holders,second choice,Veterinary Nursing,daytime,Professional higher technical course,75.0,Portuguese,yes,no,no,yes,male,yes,22,no,1,7.0,11,5,12.16666667,0,4.0,8.0,14,5.0,14.8,0,8.9,1.4,3.51,0.75,failure
single,2nd phase - general contingent,second choice,Equinculture,daytime,,69.0,Portuguese,yes,no,no,yes,female,yes,18,no,0,6.0,7,6,12.83333333,1,0.0,6.0,8,6.0,13.0,0,8.9,1.4,3.51,0.6315,success
single,3rd phase - general contingent,fourth choice,Communication Design,daytime,Secondary education,65.5,Portuguese,yes,no,no,no,female,no,19,no,0,6.0,6,6,12.16666667,0,0.0,6.0,6,0.0,0.0,0,15.5,2.8,-4.06,0.6114999999999999,failure
married,Over 23 years old,second choice,Agronomy,daytime,Secondary education,65.0,Portuguese,no,no,yes,no,male,no,25,no,3,10.0,23,6,11.42857143,0,2.0,7.0,15,4.0,12.0,1,15.5,2.8,-4.06,0.61,failure
divorced,Change of course,second choice,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,50.0,Portuguese,no,no,no,yes,male,no,30,no,11,14.0,26,12,12.52608696,1,11.0,14.0,26,12.0,12.52608696,1,7.6,2.6,0.32,0.55,success
single,1st phase - special contingent (Madeira Island),fourth choice,Journalism and Communication,daytime,Secondary education,69.0,Portuguese,yes,no,no,yes,female,yes,20,,0,6.0,6,6,15.0,0,0.0,6.0,6,6.0,13.0,0,11.1,0.6,2.02,0.6709999999999999,success
single,Transfer,second choice,Nursing,daytime,Secondary education,50.0,Portuguese,yes,no,no,yes,female,yes,19,no,0,8.0,8,7,13.05857143,0,0.0,8.0,8,7.0,13.05857143,0,10.8,1.4,1.74,0.5,success
,1st phase - general contingent,seventh choice,Nursing,daytime,Secondary education,61.0,Portuguese,yes,no,yes,yes,male,yes,20,no,0,7.0,7,7,13.31428571,0,0.0,8.0,8,8.0,12.575,0,12.4,0.5,1.79,0.583,success
single,2nd phase - general contingent,third choice,Communication Design,daytime,Secondary education,71.0,Portuguese,yes,no,no,yes,male,no,18,no,0,,6,6,13.0,0,0.0,6.0,8,1.0,10.0,0,10.8,1.4,1.74,0.705,success
single,1st phase - general contingent,fifth choice,Social Service,daytime,Secondary education,62.5,Portuguese,yes,no,yes,yes,female,yes,19,no,0,6.0,9,5,11.4,0,0.0,6.0,9,3.0,10.0,0,8.9,1.4,3.51,0.5745,success
single,1st phase - general contingent,second choice,Animation and Multimedia Design,daytime,Secondary education,70.5,Portuguese,yes,no,no,yes,female,no,18,no,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,12.4,0.5,1.79,0.7140000000000001,success
single,Change of course,second choice,Informatics Engineering,daytime,Secondary education,65.0,Portuguese,no,no,yes,no,male,no,27,no,0,5.0,5,0,0.0,0,0.0,5.0,7,0.0,0.0,0,13.9,-0.3,0.79,0.64,success
single,2nd phase - general contingent,second choice,Advertising and Marketing Management,daytime,Secondary education,59.0,Portuguese,no,no,no,yes,male,yes,19,no,0,6.0,7,6,12.0,0,0.0,6.0,6,6.0,14.0,0,12.4,0.5,1.79,0.5935,success
single,Change of course,second choice,Communication Design,daytime,Secondary education,58.5,Portuguese,yes,no,no,yes,male,no,19,no,3,6.0,7,3,11.66666667,0,1.0,6.0,13,4.0,10.33333333,0,13.9,-0.3,0.79,0.5625,success
single,2nd phase - general contingent,third choice,Nursing,daytime,,67.0,Portuguese,yes,no,no,yes,female,no,19,no,0,7.0,8,7,14.05,0,0.0,8.0,8,8.0,15.1,0,13.9,-0.3,0.79,0.6675,success
single,Technological specialization diploma holders,second choice,Agronomy,daytime,Technological specialization course,80.0,Portuguese,yes,no,no,yes,male,yes,20,no,0,6.0,9,6,13.44444444,0,0.0,6.0,9,,12.6,0,13.9,-0.3,0.79,0.8,success
single,Over 23 years old,second choice,Animation and Multimedia Design,daytime,Secondary education,72.5,Portuguese,yes,no,no,yes,male,no,24,no,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,9.4,-0.8,-3.12,0.5725,success
single,3rd phase - general contingent,second choice,Nursing,daytime,Secondary education,62.0,Portuguese,yes,no,no,yes,female,no,19,no,0,8.0,8,8,13.11625,0,0.0,8.0,8,8.0,13.11625,0,9.4,-0.8,-3.12,0.5965,success
single,1st phase - general contingent,second choice,Animation and Multimedia Design,daytime,Secondary education,68.5,Portuguese,no,no,no,yes,female,no,19,no,0,,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,10.8,1.4,1.74,0.6114999999999999,failure
single,Change of course,second choice,Social Service (evening attendance),evening,Secondary education,72.85,Cape Verdean,yes,no,no,yes,,no,25,yes,8,16.0,16,15,,0,,13.0,13,11.0,12.27272727,0,13.9,-0.3,0.79,0.7284999999999999,success
single,2nd phase - general contingent,third choice,Nursing,daytime,Secondary education,62.5,Portuguese,yes,no,no,yes,female,no,18,,0,7.0,11,6,11.98333333,0,0.0,8.0,12,8.0,12.28125,0,16.2,0.3,-0.92,0.5725,success
single,Over 23 years old,second choice,Management (evening attendance),evening,Secondary education,66.55,Portuguese,no,no,no,yes,female,no,29,no,0,5.0,0,0,,0,0.0,5.0,0,0.0,0.0,0,16.2,0.3,-0.92,0.5485,failure
single,Over 23 years old,second choice,Nursing,daytime,Secondary education,70.0,Portuguese,yes,no,no,yes,female,no,24,no,0,8.0,8,8,13.385,0,0.0,8.0,8,8.0,13.385,0,9.4,-0.8,-3.12,0.7,success
single,1st phase - general contingent,third choice,Nursing,daytime,Secondary education,61.5,Portuguese,yes,no,no,yes,female,no,19,no,0,8.0,11,7,12.54571429,0,0.0,8.0,11,,12.54571429,0,10.8,,1.74,0.604,success
single,2nd phase - general contingent,fourth choice,Management,daytime,Secondary education,71.0,Portuguese,no,no,no,yes,female,no,18,no,0,5.0,5,5,13.2,0,0.0,5.0,6,,12.5,0,9.4,-0.8,-3.12,0.647,success
single,2nd phase - general contingent,seventh choice,Management,daytime,Secondary education,64.5,Portuguese,yes,no,no,yes,male,no,19,no,0,5.0,8,5,,1,0.0,5.0,10,4.0,10.75,0,9.4,-0.8,-3.12,0.61,success
divorced,Over 23 years old,second choice,Social Service (evening attendance),evening,Secondary education,80.0,Portuguese,no,no,no,yes,,yes,35,no,0,6.0,9,6,11.33333333,0,0.0,6.0,6,6.0,11.33333333,0,15.5,2.8,-4.06,0.485,success
single,1st phase - general contingent,second choice,Equinculture,daytime,Secondary education,80.5,Portuguese,no,no,no,yes,female,no,18,no,0,6.0,7,6,15.57142857,0,0.0,6.0,7,6.0,14.71428571,0,11.1,0.6,2.02,0.7615000000000001,success
single,1st phase - general contingent,second choice,Tourism,daytime,Secondary education,63.5,Portuguese,no,no,yes,no,female,no,22,no,0,6.0,10,5,11.0,0,0.0,6.0,12,0.0,0.0,0,10.8,1.4,1.74,0.6035,failure
single,Change of course,second choice,Journalism and Communication,daytime,Secondary education,60.5,Portuguese,yes,no,no,,male,no,23,no,0,6.0,15,1,13.0,0,0.0,6.0,8,4.0,11.25,0,9.4,-0.8,-3.12,0.605,success
single,Change of course,second choice,Oral Hygiene,daytime,Secondary education,63.0,Portuguese,no,no,no,yes,female,no,25,no,2,7.0,10,3,13.0,0,1.0,8.0,10,3.0,11.66666667,4,10.8,1.4,1.74,0.5,success
single,2nd phase - general contingent,fourth choice,Basic Education,daytime,Secondary education,66.55,Portuguese,yes,no,no,yes,female,no,18,no,0,6.0,12,0,0.0,0,0.0,6.0,12,0.0,0.0,0,7.6,2.6,0.32,0.674,failure
single,2nd phase - general contingent,second choice,Journalism and Communication,daytime,Secondary education,61.0,Portuguese,yes,no,yes,yes,female,no,18,no,0,6.0,6,6,11.66666667,0,0.0,6.0,6,6.0,12.33333333,0,16.2,0.3,-0.92,0.584,success
single,Holders of other higher courses,second choice,Management,daytime,Higher education - bachelor's degree,75.0,Portuguese,yes,no,yes,no,female,no,38,no,0,5.0,6,0,0.0,0,0.0,5.0,5,0.0,0.0,0,15.5,2.8,-4.06,0.75,failure
single,Change of course,second choice,Management,daytime,Secondary education,64.5,Portuguese,no,no,no,yes,male,no,22,,5,9.0,9,5,11.2,0,5.0,9.0,14,7.0,11.25,2,12.7,3.7,-1.7,0.56,failure
single,Change of course,second choice,Management (evening attendance),evening,Secondary education,66.55,Portuguese,no,no,no,yes,male,yes,42,no,0,5.0,14,1,10.0,0,0.0,5.0,14,1.0,11.0,0,13.9,-0.3,0.79,0.6805,failure
single,Technological specialization diploma holders,second choice,Animation and Multimedia Design,daytime,Technological specialization course,75.0,Portuguese,no,no,no,yes,male,no,25,no,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,15.5,2.8,-4.06,0.75,success
single,1st phase - general contingent,second choice,Social Service,daytime,Secondary education,62.5,Portuguese,yes,no,no,yes,female,yes,19,no,0,6.0,9,6,10.85714286,0,0.0,6.0,7,6.0,11.66666667,0,12.4,0.5,1.79,0.6075,success
single,2nd phase - general contingent,third choice,Social Service,daytime,Secondary education,55.5,Portuguese,yes,no,no,yes,female,no,19,no,0,6.0,9,6,12.16666667,0,0.0,6.0,9,6.0,11.0,0,8.9,1.4,3.51,0.5535,success
single,Technological specialization diploma holders,second choice,Veterinary Nursing,daytime,Technological specialization course,75.0,Spanish,no,no,no,yes,female,no,20,yes,2,6.0,7,6,13.33333333,0,1.0,6.0,16,5.0,13.375,0,12.4,0.5,1.79,0.75,success
single,2nd phase - general contingent,fourth choice,Veterinary Nursing,daytime,Secondary education,64.0,Portuguese,no,no,no,no,female,no,21,no,0,5.0,8,2,11.5,0,0.0,5.0,7,2.0,10.5,0,7.6,2.6,0.32,0.621,failure
single,1st phase - general contingent,fifth choice,Journalism and Communication,daytime,Secondary education,66.5,Portuguese,yes,no,no,yes,male,yes,20,no,0,6.0,6,6,12.16666667,0,0.0,6.0,8,4.0,12.75,0,9.4,-0.8,-3.12,0.672,success
single,2nd phase - general contingent,second choice,Management (evening attendance),evening,Higher education - degree (1st cycle),63.5,Portuguese,no,,no,yes,female,no,29,no,0,5.0,10,5,13.57142857,0,0.0,5.0,14,,12.33333333,3,16.2,0.3,-0.92,0.6245,success
single,Over 23 years old,second choice,Social Service,daytime,Secondary education,70.0,Portuguese,yes,no,no,no,female,no,28,no,0,6.0,11,1,13.0,0,0.0,6.0,12,0.0,0.0,0,9.4,-0.8,-3.12,0.57,failure
single,Short cycle diploma holders,second choice,Veterinary Nursing,daytime,Professional higher technical course,75.0,Portuguese,yes,no,no,yes,male,yes,21,no,7,11.0,15,9,14.22222222,0,4.0,9.0,15,7.0,13.75,0,8.9,1.4,3.51,0.7515000000000001,success
single,1st phase - general contingent,second choice,Management,daytime,Secondary education,88.5,Portuguese,no,no,no,yes,female,yes,18,no,0,5.0,6,5,16.33333333,0,0.0,5.0,5,5.0,15.4,0,15.5,2.8,-4.06,0.8115000000000001,success
single,Technological specialization diploma holders,second choice,Agronomy,daytime,Technological specialization course,65.0,Portuguese,yes,no,no,yes,male,no,20,no,0,6.0,14,5,11.71428571,0,0.0,6.0,15,5.0,12.0,0,16.2,0.3,-0.92,0.65,success
single,1st phase - general contingent,seventh choice,Nursing,daytime,Secondary education,69.0,Portuguese,yes,no,no,yes,female,no,19,no,0,7.0,10,5,13.44,0,0.0,7.0,8,6.0,13.06666667,0,12.4,0.5,1.79,0.615,success
married,Over 23 years old,second choice,Management (evening attendance),evening,Higher education - degree,70.0,Portuguese,no,no,no,yes,female,no,26,no,0,5.0,5,5,12.0,0,0.0,5.0,6,5.0,14.83333333,0,10.8,1.4,1.74,0.762,success
single,2nd phase - general contingent,second choice,Animation and Multimedia Design,daytime,Secondary education,71.5,Portuguese,yes,no,no,,male,yes,19,,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.1,0.6,2.02,0.7815000000000001,success
single,2nd phase - general contingent,second choice,Tourism,daytime,Secondary education,62.5,Portuguese,no,no,no,yes,male,yes,22,no,0,6.0,8,6,13.625,0,0.0,6.0,8,6.0,14.42857143,0,11.1,0.6,2.02,0.5725,success
married,Over 23 years old,second choice,Informatics Engineering,daytime,Secondary education,55.0,Portuguese,no,no,yes,yes,male,no,30,no,0,5.0,5,0,0.0,0,0.0,5.0,5,0.0,0.0,0,7.6,2.6,0.32,0.685,failure
single,Change of course,second choice,Management,daytime,Secondary education,61.5,Portuguese,no,no,no,yes,female,,21,no,3,10.0,18,6,11.16666667,2,4.0,10.0,16,7.0,10.57142857,0,7.6,2.6,0.32,0.5660000000000001,success
single,1st phase - general contingent,second choice,Veterinary Nursing,daytime,Secondary education,62.5,Portuguese,yes,no,no,yes,female,no,24,no,0,5.0,6,5,13.0,1,0.0,5.0,9,4.0,13.25,0,12.7,3.7,-1.7,0.5725,success
married,Over 23 years old,second choice,Nursing,daytime,Secondary education,66.55,Portuguese,no,no,no,yes,female,yes,34,no,0,7.0,7,6,12.51333333,0,0.0,8.0,9,7.0,13.07142857,0,12.4,0.5,1.79,0.7440000000000001,success
single,3rd phase - general contingent,fourth choice,Communication Design,daytime,Secondary education,67.0,Portuguese,no,no,no,yes,female,no,18,no,0,6.0,6,2,12.0,0,0.0,6.0,6,1.0,11.0,0,9.4,-0.8,-3.12,0.607,failure
single,Technological specialization diploma holders,second choice,Agronomy,daytime,Technological specialization course,75.0,Portuguese,no,no,yes,yes,female,yes,19,no,0,6.0,9,6,14.33333333,0,0.0,6.0,7,6.0,13.83333333,0,13.9,-0.3,0.79,0.75,success
single,1st phase - general contingent,sixth choice,Nursing,daytime,Secondary education,70.5,Portuguese,yes,no,no,yes,female,no,20,no,0,8.0,12,7,12.47142857,0,0.0,8.0,12,7.0,12.47142857,0,12.7,3.7,-1.7,0.6315,success
single,1st phase - general contingent,third choice,Tourism,daytime,Secondary education,62.5,Portuguese,yes,no,no,yes,male,no,18,no,0,6.0,12,5,11.0,0,0.0,6.0,11,3.0,10.33333333,0,9.4,-0.8,-3.12,0.6075,success
single,3rd phase - general contingent,second choice,Social Service (evening attendance),evening,Secondary education,68.5,Portuguese,no,no,yes,yes,female,no,20,no,0,6.0,13,4,10.8,0,0.0,6.0,15,4.0,12.0,0,16.2,0.3,-0.92,0.615,success
single,Technological specialization diploma holders,second choice,Informatics Engineering,daytime,Technological specialization course,80.0,Portuguese,no,no,yes,no,male,no,24,no,2,6.0,6,2,16.0,0,2.0,7.0,7,2.0,16.0,0,8.9,1.4,3.51,0.8,failure
single,Technological specialization diploma holders,second choice,Animation and Multimedia Design,daytime,,70.0,Portuguese,no,no,no,,male,no,21,,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,15.5,2.8,-4.06,0.7,success
single,2nd phase - general contingent,third choice,Tourism,daytime,Secondary education,61.5,Portuguese,yes,no,yes,yes,female,no,19,no,0,6.0,10,6,12.16666667,0,0.0,6.0,8,5.0,11.66666667,0,16.2,0.3,-0.92,0.5660000000000001,failure
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,84.0,Portuguese,yes,no,no,yes,male,no,18,no,0,7.0,7,7,16.14285714,0,0.0,8.0,9,0.0,0.0,0,16.2,0.3,-0.92,0.805,failure
single,2nd phase - general contingent,sixth choice,Tourism,daytime,Secondary education,65.0,Portuguese,yes,no,yes,yes,male,yes,20,no,0,6.0,7,0,0.0,0,0.0,6.0,6,0.0,0.0,0,8.9,1.4,3.51,0.6135,failure
single,1st phase - general contingent,second choice,Social Service,daytime,Secondary education,67.5,Portuguese,no,,no,yes,female,no,18,no,0,6.0,7,6,14.0,0,0.0,6.0,7,6.0,14.0,0,10.8,1.4,1.74,0.614,success
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,74.0,Portuguese,yes,no,no,yes,female,no,19,no,0,7.0,7,6,14.26666667,0,0.0,7.0,7,6.0,14.26666667,0,7.6,2.6,0.32,0.6865000000000001,success
single,Change of course,second choice,Social Service (evening attendance),evening,Secondary education,65.5,Portuguese,no,no,no,yes,male,no,24,no,0,6.0,13,0,0.0,3,0.0,6.0,6,0.0,0.0,0,16.2,0.3,-0.92,0.625,failure
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,62.5,Portuguese,no,no,no,yes,male,no,20,no,0,8.0,12,5,12.002,1,0.0,8.0,12,5.0,12.002,1,10.8,1.4,1.74,0.5915,failure
single,Change of course,second choice,Communication Design,daytime,Secondary education,57.0,Portuguese,no,no,no,yes,male,no,26,no,9,14.0,14,14,14.0,0,7.0,13.0,13,,13.61538462,0,15.5,2.8,-4.06,0.6795,success
married,Over 23 years old,third choice,Management,daytime,Secondary education,65.0,Portuguese,no,no,no,yes,,no,34,no,0,,10,3,11.66666667,1,0.0,5.0,7,4.0,12.75,0,9.4,-0.8,-3.12,0.7,success
married,Holders of other higher courses,second choice,Tourism,daytime,Higher education - degree,65.0,Portuguese,no,no,no,yes,female,no,39,no,0,6.0,10,0,0.0,0,0.0,6.0,6,0.0,0.0,0,12.4,0.5,1.79,0.65,failure
married,Holders of other higher courses,second choice,Management,daytime,Higher education - degree,55.0,Portuguese,no,no,no,yes,female,no,33,no,5,8.0,10,6,12.83333333,0,2.0,5.0,8,4.0,12.0,0,11.1,0.6,2.02,0.55,success
single,2nd phase - general contingent,fifth choice,Journalism and Communication,daytime,Secondary education,63.5,Portuguese,yes,no,yes,no,female,no,19,no,0,6.0,6,0,0.0,0,0.0,6.0,0,0.0,0.0,0,8.9,1.4,3.51,0.579,failure
single,2nd phase - general contingent,fourth choice,Communication Design,daytime,Secondary education,60.0,Portuguese,yes,no,no,yes,female,no,19,no,0,6.0,6,6,13.5,0,0.0,6.0,7,6.0,13.42857143,0,8.9,,3.51,0.5845,success
single,Change of course,second choice,Animation and Multimedia Design,daytime,Secondary education,60.0,Portuguese,yes,no,no,yes,male,,22,no,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,7.6,2.6,0.32,0.6,success
single,2nd phase - general contingent,third choice,Tourism,daytime,Secondary education,62.0,Brazilian,yes,no,no,yes,female,no,22,yes,0,6.0,7,6,10.83333333,0,0.0,6.0,6,6.0,10.66666667,0,13.9,-0.3,0.79,0.6164999999999999,success
single,1st phase - general contingent,second choice,Advertising and Marketing Management,daytime,Secondary education,66.0,Portuguese,yes,no,no,yes,male,no,20,no,0,6.0,8,5,12.8,0,0.0,6.0,10,5.0,11.6,0,13.9,-0.3,0.79,0.718,success
single,Technological specialization diploma holders,second choice,Social Service,daytime,Technological specialization course,65.0,Portuguese,no,no,yes,yes,female,no,21,no,3,6.0,6,6,12.16666667,0,2.0,6.0,7,6.0,11.71428571,0,13.9,-0.3,0.79,0.6335000000000001,success
single,3rd phase - general contingent,third choice,Basic Education,daytime,Secondary education,84.0,Portuguese,yes,no,no,yes,male,no,18,no,0,6.0,7,5,12.6,0,0.0,6.0,6,6.0,13.0,0,10.8,1.4,1.74,0.634,success
single,1st phase - general contingent,second choice,Animation and Multimedia Design,daytime,Secondary education,65.5,Portuguese,yes,no,no,yes,female,no,18,no,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,7.6,2.6,0.32,0.664,success
single,2nd phase - general contingent,second choice,Social Service,daytime,Secondary education,58.0,Portuguese,yes,no,no,yes,female,yes,18,no,0,6.0,6,6,14.0,0,0.0,6.0,6,6.0,13.5,0,8.9,1.4,3.51,0.596,success
single,Change of course,second choice,Animation and Multimedia Design,daytime,Technological specialization course,70.0,Portuguese,,no,no,no,,no,25,no,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,15.5,2.8,-4.06,0.7,failure
single,1st phase - general contingent,sixth choice,Communication Design,daytime,Secondary education,61.5,Portuguese,yes,no,no,,female,no,20,no,0,6.0,6,6,,0,0.0,6.0,9,6.0,11.5,0,12.4,0.5,1.79,0.6065,success
single,1st phase - general contingent,third choice,Communication Design,daytime,Secondary education,72.5,Portuguese,yes,no,no,yes,male,no,18,no,0,6.0,7,6,12.83333333,0,0.0,6.0,7,6.0,12.57142857,0,8.9,1.4,3.51,0.65,success
married,Over 23 years old,second choice,Social Service (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,66.55,Portuguese,no,no,no,yes,male,no,48,no,0,6.0,6,0,0.0,0,0.0,5.0,6,0.0,0.0,0,12.4,0.5,1.79,0.7475,failure
single,1st phase - general contingent,seventh choice,Management,daytime,Secondary education,71.0,Portuguese,no,yes,no,yes,male,no,21,no,0,5.0,0,0,0.0,0,0.0,5.0,0,0.0,0.0,0,10.8,1.4,1.74,0.6715000000000001,failure
single,3rd phase - general contingent,fifth choice,Veterinary Nursing,daytime,Secondary education,85.0,Portuguese,,,yes,,female,yes,20,no,2,5.0,8,5,14.4,1,0.0,5.0,6,5.0,14.0,0,12.7,3.7,-1.7,0.833,failure
single,Change of course,second choice,Animation and Multimedia Design,daytime,Higher education - bachelor's degree,70.0,Portuguese,yes,no,no,yes,female,,34,no,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,10.8,1.4,1.74,0.7,failure
single,2nd phase - general contingent,second choice,Tourism,daytime,Secondary education,59.0,Portuguese,no,no,no,,female,yes,19,no,0,6.0,7,5,11.0,0,0.0,6.0,7,5.0,12.8,0,12.4,,1.79,0.59,success
single,1st phase - general contingent,fourth choice,Communication Design,daytime,Secondary education,69.5,Portuguese,,no,no,yes,female,yes,19,no,0,6.0,6,6,12.83333333,0,0.0,6.0,6,,12.83333333,0,9.4,-0.8,-3.12,0.711,success
single,Over 23 years old,second choice,Equinculture,daytime,Secondary education,60.0,Portuguese,no,no,no,yes,male,no,25,no,0,6.0,6,0,0.0,0,0.0,6.0,6,0.0,0.0,0,12.4,0.5,1.79,0.75,failure
single,1st phase - general contingent,fourth choice,Journalism and Communication,daytime,Secondary education,79.0,Portuguese,yes,no,no,yes,female,no,18,no,0,6.0,6,6,12.66666667,0,0.0,6.0,7,6.0,12.57142857,0,10.8,1.4,1.74,0.785,success
single,2nd phase - general contingent,fifth choice,Social Service,daytime,Secondary education,64.5,Portuguese,yes,no,no,yes,male,no,21,no,0,6.0,6,6,12.33333333,0,0.0,6.0,7,6.0,13.66666667,0,8.9,1.4,3.51,0.5855,success
single,2nd phase - general contingent,second choice,Communication Design,daytime,,61.5,Portuguese,no,no,no,yes,female,no,18,no,0,6.0,8,6,12.5,0,0.0,6.0,6,6.0,12.33333333,0,15.5,2.8,-4.06,0.5695,success
single,1st phase - general contingent,fourth choice,Nursing,daytime,Secondary education,70.5,Portuguese,yes,no,no,yes,female,no,18,no,0,8.0,8,7,15.65714286,0,0.0,8.0,8,7.0,15.65714286,0,12.7,3.7,-1.7,0.63,success
single,Over 23 years old,second choice,Management (evening attendance),evening,Technological specialization course,75.0,Portuguese,no,no,no,yes,male,no,24,no,0,5.0,7,3,11.33333333,0,0.0,5.0,6,0.0,0.0,0,10.8,1.4,1.74,0.7515000000000001,failure
single,Change of course,second choice,Informatics Engineering,daytime,Secondary education,64.0,Portuguese,no,no,no,yes,male,no,19,no,0,5.0,8,5,12.0,0,0.0,5.0,12,2.0,10.5,0,13.9,-0.3,0.79,0.5,success
single,1st phase - general contingent,third choice,Basic Education,daytime,Secondary education,66.5,Portuguese,yes,no,no,yes,female,no,19,no,0,6.0,6,0,0.0,0,0.0,6.0,0,0.0,0.0,0,12.7,3.7,-1.7,0.6509999999999999,failure
single,1st phase - general contingent,second choice,Advertising and Marketing Management,daytime,,65.5,Portuguese,no,no,no,yes,female,yes,18,no,0,5.0,7,3,12.66666667,0,0.0,5.0,5,4.0,12.5,0,9.4,-0.8,-3.12,0.636,success
single,Over 23 years old,second choice,Management (evening attendance),evening,Secondary education,50.0,Portuguese,no,no,yes,no,male,no,31,no,0,5.0,9,0,0.0,0,0.0,5.0,6,0.0,0.0,0,12.4,0.5,1.79,0.7675,failure
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,75.0,Portuguese,no,no,no,yes,,,19,no,0,7.0,7,7,14.3,0,0.0,8.0,9,8.0,14.05555556,0,16.2,0.3,-0.92,0.778,success
